LIB1,android.support.constraint
URL ,https://developer.android.com/reference/android/support/constraint/package-summary
class-name,class-description
Barrier,"A Barrier references multiple widgets as input, and creates a virtual guideline based on the most extreme widget on the specified side."
ConstraintLayout,A ConstraintLayout is a android.view.ViewGroup which allows you to position and size widgets in a flexible way.
ConstraintLayout.LayoutParams,This class contains the different attributes specifying how a view want to be laid out inside a ConstraintLayout.
ConstraintProperties,Added in 2.0 ConstraintProperties provides an easy to use api to update the layout params of ConstraintLayout children
ConstraintsChangedListener,Added in 2.0 Callbacks on state change
ConstraintSet,This class allows you to define programmatically a set of constraints to be used with ConstraintLayout.
Group,Added in 1.1 This class controls the visibility of a set of referenced widgets.
Guideline,Utility class representing a Guideline helper object for ConstraintLayout.
Placeholder,Added in 1.1 A Placeholder provides a virtual object which can position an existing object.
class-of-method,method-name-description
Barrier,allowsGoneWidget()
Barrier,getMargin() Returns the barrier margin
Barrier,getReferencedIds() Helpers typically reference a collection of ids
Barrier,"getType() Get the barrier type (Barrier.LEFT, Barrier.TOP, Barrier.RIGHT, Barrier.BOTTOM, Barrier.END, Barrier.START)"
Barrier,"loadParameters(ConstraintSet.Constraint constraint, HelperWidget child, ConstraintLayout.LayoutParams layoutParams, mapIdToWidget)"
Barrier,"resolveRtl(ConstraintWidget widget, boolean isRtl)"
Barrier,setAllowsGoneWidget(boolean supportGone)
Barrier,setDpMargin(int margin) Set a margin on the barrier
Barrier,setMargin(int margin) Set the barrier margin
Barrier,setReferencedIds(int[] ids) Helpers typically reference a collection of ids
Barrier,"setType(int type) Set the barrier type (Barrier.LEFT, Barrier.TOP, Barrier.RIGHT, Barrier.BOTTOM, Barrier.END, Barrier.START)"
Barrier,updatePostConstraints(ConstraintLayout constainer)
Barrier,"updatePreLayout(ConstraintWidgetContainer container, Helper helper, map)"
Barrier,getViews(ConstraintLayout layout)
ConstraintLayout,getMaxHeight() The maximum height of this view.
ConstraintLayout,getMaxWidth()
ConstraintLayout,getMinHeight() The minimum height of this view.
ConstraintLayout,getMinWidth() The minimum width of this view.
ConstraintLayout,getOptimizationLevel() Return the current optimization level for the layout resolution
ConstraintLayout,loadLayoutDescription(int layoutDescription) Load a layout description file from the resources.
ConstraintLayout,requestLayout()
ConstraintLayout,"resolveSystem(int widthMeasureSpec, int heightMeasureSpec)"
ConstraintLayout,setConstraintSet(ConstraintSet set) Sets a ConstraintSet object to manage constraints.
ConstraintLayout,setMaxHeight(int value) Set the max height for this view
ConstraintLayout,setMaxWidth(int value) Set the max width for this view
ConstraintLayout,setMinHeight(int value) Set the min height for this view
ConstraintLayout,setMinWidth(int value) Set the min width for this view
ConstraintLayout,setOnConstraintsChanged(ConstraintsChangedListener constraintsChangedListener)
ConstraintLayout,setOptimizationLevel(int level) Set the optimization for the layout resolution.
ConstraintLayout,"setState(int id, int screenWidth, int screenHeight) Set the State of the ConstraintLayout, causing it to load a particular ConstraintSet."
ConstraintLayout,"applyConstraintsFromLayoutParams(boolean isInEditMode, View child, ConstraintWidget widget, ConstraintLayout.LayoutParams layoutParams, idToWidget)"
ConstraintLayout,checkLayoutParams(ViewGroup.LayoutParams p)
ConstraintLayout,generateDefaultLayoutParams()
ConstraintLayout,generateLayoutParams(ViewGroup.LayoutParams p)
ConstraintLayout,"onLayout(boolean changed, int left, int top, int right, int bottom)"
ConstraintLayout,"onMeasure(int widthMeasureSpec, int heightMeasureSpec)"
ConstraintLayout,parseLayoutDescription(int id) Subclasses can override the handling of layoutDescription
ConstraintLayout.LayoutParams,getConstraintTag() Tag that can be used to identify a view as being a member of a group.
ConstraintLayout.LayoutParams,reset()
ConstraintLayout.LayoutParams,resolveLayoutDirection(int layoutDirection)
ConstraintLayout.LayoutParams,validate()
ConstraintProperties,"addToHorizontalChain(int leftId, int rightId) Adds the view to a horizontal chain."
ConstraintProperties,"addToHorizontalChainRTL(int leftId, int rightId) Adds the view to a horizontal chain using RTL attributes."
ConstraintProperties,"addToVerticalChain(int topId, int bottomId) Adds a view to a vertical chain."
ConstraintProperties,alpha(float alpha) Adjust the alpha of a view.
ConstraintProperties,apply()
ConstraintProperties,"center(int firstID, int firstSide, int firstMargin, int secondId, int secondSide, int secondMargin, float bias) Center view between the other two widgets."
ConstraintProperties,centerHorizontally(int toView) Centers the view horizontally relative to toView's position.
ConstraintProperties,"centerHorizontally(int leftId, int leftSide, int leftMargin, int rightId, int rightSide, int rightMargin, float bias) Centers the widget horizontally to the left and right side on another widgets sides."
ConstraintProperties,centerHorizontallyRtl(int toView) Centers the view horizontally relative to toView's position.
ConstraintProperties,"centerHorizontallyRtl(int startId, int startSide, int startMargin, int endId, int endSide, int endMargin, float bias) Centers the widgets horizontally to the left and right side on another widgets sides."
ConstraintProperties,"centerVertically(int topId, int topSide, int topMargin, int bottomId, int bottomSide, int bottomMargin, float bias) Centers the widgets Vertically to the top and bottom side on another widgets sides."
ConstraintProperties,centerVertically(int toView) Centers the view vertically relative to toView's position.
ConstraintProperties,"connect(int startSide, int endID, int endSide, int margin) Create a constraint between two widgets."
ConstraintProperties,constrainDefaultHeight(int height) Sets how the height is calculated ether MATCH_CONSTRAINT_WRAP or MATCH_CONSTRAINT_SPREAD.
ConstraintProperties,constrainDefaultWidth(int width) Sets how the width is calculated ether MATCH_CONSTRAINT_WRAP or MATCH_CONSTRAINT_SPREAD.
ConstraintProperties,constrainHeight(int height) Sets the height of the view.
ConstraintProperties,constrainMaxHeight(int height) Sets the maximum height of the view.
ConstraintProperties,constrainMaxWidth(int width) Sets the maximum width of the view.
ConstraintProperties,constrainMinHeight(int height) Sets the minimum height of the view.
ConstraintProperties,constrainMinWidth(int width) Sets the minimum width of the view.
ConstraintProperties,constrainWidth(int width) Sets the width of the view.
ConstraintProperties,dimensionRatio(String ratio) Constrains the views aspect ratio.
ConstraintProperties,elevation(float elevation) Set the elevation of a view.
ConstraintProperties,"goneMargin(int anchor, int value) Sets the gone margin."
ConstraintProperties,horizontalBias(float bias) Adjust the horizontal bias of the view (used with views constrained on left and right).
ConstraintProperties,horizontalChainStyle(int chainStyle) How the elements of the horizontal chain will be positioned.
ConstraintProperties,"horizontalWeight(float weight) The child's weight that we can use to distribute the available horizontal space in a chain, if the dimension behaviour is set to MATCH_CONSTRAINT"
ConstraintProperties,"margin(int anchor, int value) Sets the margin."
ConstraintProperties,removeConstraints(int anchor) Remove a constraint from this view.
ConstraintProperties,removeFromHorizontalChain() Removes a view from a vertical chain.
ConstraintProperties,removeFromVerticalChain() Removes a view from a vertical chain.
ConstraintProperties,rotation(float rotation) Adjust the post-layout rotation about the Z axis of a view.
ConstraintProperties,rotationX(float rotationX) Adjust the post-layout rotation about the X axis of a view.
ConstraintProperties,rotationY(float rotationY) Adjust the post-layout rotation about the Y axis of a view.
ConstraintProperties,scaleX(float scaleX) Adjust the post-layout scale in X of a view.
ConstraintProperties,scaleY(float scaleY) Adjust the post-layout scale in Y of a view.
ConstraintProperties,"transformPivot(float transformPivotX, float transformPivotY) Set X and Y location of the pivot point around which the view will rotate and scale."
ConstraintProperties,transformPivotX(float transformPivotX) Set X location of the pivot point around which the view will rotate and scale.
ConstraintProperties,transformPivotY(float transformPivotY) Set Y location of the pivot point around which the view will rotate and scale.
ConstraintProperties,"translation(float translationX, float translationY) Adjust the post-layout X and Y translation of a view."
ConstraintProperties,translationX(float translationX) Adjust the post-layout X translation of a view.
ConstraintProperties,translationY(float translationY) Adjust the post-layout Y translation of a view.
ConstraintProperties,translationZ(float translationZ) Adjust the post-layout translation in Z of a view.
ConstraintProperties,verticalBias(float bias) Adjust the vertical bias of the view (used with views constrained on left and right).
ConstraintProperties,verticalChainStyle(int chainStyle) How the elements of the vertical chain will be positioned.
ConstraintProperties,"verticalWeight(float weight) The child's weight that we can use to distribute the available vertical space in a chain, if the dimension behaviour is set to MATCH_CONSTRAINT"
ConstraintProperties,visibility(int visibility) Adjust the visibility of a view.
ConstraintsChangedListener,"postLayoutChange(int stateId, int constraintId) called after layout happens"
ConstraintsChangedListener,"preLayoutChange(int stateId, int constraintId) called before layout happens"
ConstraintSet,addColorAttributes(String... attributeName)
ConstraintSet,addFloatAttributes(String... attributeName)
ConstraintSet,addIntAttributes(String... attributeName)
ConstraintSet,addStringAttributes(String... attributeName)
ConstraintSet,"addToHorizontalChain(int viewId, int leftId, int rightId) Adds a view to a horizontal chain."
ConstraintSet,"addToHorizontalChainRTL(int viewId, int leftId, int rightId) Adds a view to a horizontal chain."
ConstraintSet,"addToVerticalChain(int viewId, int topId, int bottomId) Adds a view to a vertical chain."
ConstraintSet,applyCustomAttributes(ConstraintLayout constraintLayout) Apply custom attributes alone
ConstraintSet,applyTo(ConstraintLayout constraintLayout) Apply the constraints to a ConstraintLayout.
ConstraintSet,"applyToHelper(ConstraintHelper helper, ConstraintWidget child, ConstraintLayout.LayoutParams layoutParams, mapIdToWidget) Apply Layout to Helper widget"
ConstraintSet,"applyToLayoutParams(int id, ConstraintLayout.LayoutParams layoutParams) Fill in a ConstraintLayout LayoutParam based on the id."
ConstraintSet,applyToWithoutCustom(ConstraintLayout constraintLayout) Apply the constraints to a ConstraintLayout.
ConstraintSet,"center(int centerID, int firstID, int firstSide, int firstMargin, int secondId, int secondSide, int secondMargin, float bias) Center widget between the other two widgets."
ConstraintSet,"centerHorizontally(int centerID, int leftId, int leftSide, int leftMargin, int rightId, int rightSide, int rightMargin, float bias) Centers the widget horizontally to the left and right side on another widgets sides."
ConstraintSet,"centerHorizontally(int viewId, int toView) Centers the view horizontally relative to toView's position."
ConstraintSet,"centerHorizontallyRtl(int viewId, int toView) Centers the view horizontally relative to toView's position."
ConstraintSet,"centerHorizontallyRtl(int centerID, int startId, int startSide, int startMargin, int endId, int endSide, int endMargin, float bias) Centers the widgets horizontally to the left and right side on another widgets sides."
ConstraintSet,"centerVertically(int viewId, int toView) Centers the view vertically relative to toView's position."
ConstraintSet,"centerVertically(int centerID, int topId, int topSide, int topMargin, int bottomId, int bottomSide, int bottomMargin, float bias) Centers the widgets Vertically to the top and bottom side on another widgets sides."
ConstraintSet,"clear(int viewId, int anchor) Remove a constraint from this view."
ConstraintSet,clear(int viewId) Remove all constraints from this view.
ConstraintSet,"clone(Context context, int constraintLayoutId) Copy the constraints from a layout."
